match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.2,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.3,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.4,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.5,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7.6,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.1,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.2,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.3,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.4,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.5,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,8.6,Australia,India,SPD Smith,M Labuschagne,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.1,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.2,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.3,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.4,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.5,Australia,India,M Labuschagne,SPD Smith,AR Patel,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,9.6,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.1,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.2,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.3,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.4,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.5,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
